Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LotFrontagena,MasVnrAreana,GarageYrBltna
1,60,12.085885034361516,4.174387269895637,9.041921720351219,12.025522495249092,12.037675191939776,11.936093526689717,12.02269397302858,12.024182958480877,12.00189962660944,12.0205649310742,12.163641307701864,12.04291612709755,12.025895254415694,12.047512415928205,12.182686209840618,7,5,5,5,11.984199753311575,12.019216214618552,12.20587264918594,12.209630627095029,12.163629742442435,196.0,12.311282455535837,12.043077827796978,12.261665131561195,12.179882358539462,12.04261484090755,11.955653412075753,12.301936995160133,706,12.043738116747505,0,150,856,12.032077892096211,12.20762619892906,12.061089985718422,12.061464181279975,6.752270376141742,854,0,7.444248649496705,1,0,2,1,3,1,12.222336663076506,8,12.038511131398728,0,11.808907293600358,12.16077753342227,5.0,12.172672333572622,2,548,12.068539413468748,12.070483200383846,12.059894850096232,0,61,0,0,0,0,12.022115348666631,12.05859851230732,12.030112254137366,0,2,2008,11.99106086274981,12.005033692506249,12.247694320220994,0,0,0
2,20,12.085885034361516,4.382026634673881,9.169518377455928,12.025522495249092,12.037675191939776,11.936093526689717,12.02269397302858,12.024182958480877,12.178604917308675,12.0205649310742,12.037104209477372,11.90519997738394,12.025895254415694,12.047512415928205,11.993682778640787,6,8,31,31,11.984199753311575,12.019216214618552,11.859767396993869,11.862285886957245,11.89291944910876,0.0,11.837985209456932,12.043077827796978,11.870079702687168,12.179882358539462,12.04261484090755,12.14825026128522,11.953313219579172,978,12.043738116747505,0,284,1262,12.032077892096211,12.20762619892906,12.061089985718422,12.061464181279975,7.140453043101158,0,0,7.140453043101158,0,1,2,0,3,1,11.810591800844753,6,12.038511131398728,1,12.186415513744642,12.16077753342227,31.0,12.172672333572622,2,460,12.068539413468748,12.070483200383846,12.059894850096232,298,0,0,0,0,0,12.022115348666631,12.05859851230732,12.030112254137366,0,5,2007,11.99106086274981,12.005033692506249,12.109010932687042,0,0,0
3,60,12.085885034361516,4.219507705176107,9.328123407632566,12.025522495249092,12.037675191939776,12.163465349551254,12.02269397302858,12.024182958480877,12.00189962660944,12.0205649310742,12.163641307701864,12.04291612709755,12.025895254415694,12.047512415928205,12.182686209840618,7,5,7,6,11.984199753311575,12.019216214618552,12.20587264918594,12.209630627095029,12.163629742442435,162.0,12.311282455535837,12.043077827796978,12.261665131561195,12.179882358539462,12.04261484090755,12.14825026128522,12.301936995160133,486,12.043738116747505,0,434,920,12.032077892096211,12.20762619892906,12.061089985718422,12.061464181279975,6.824373670043086,866,0,7.487733761436444,1,0,2,1,3,1,12.222336663076506,6,12.038511131398728,1,12.186415513744642,12.16077753342227,7.0,12.172672333572622,2,608,12.068539413468748,12.070483200383846,12.059894850096232,0,42,0,0,0,0,12.022115348666631,12.05859851230732,12.030112254137366,0,9,2008,11.99106086274981,12.005033692506249,12.31716669303576,0,0,0
4,70,12.085885034361516,4.0943445622221,9.164296433474776,12.025522495249092,12.037675191939776,12.163465349551254,12.02269397302858,12.024182958480877,12.027445609949833,12.0205649310742,12.037104209477372,12.04291612709755,12.025895254415694,12.047512415928205,12.182686209840618,7,5,91,36,11.984199753311575,12.019216214618552,11.838506037800695,11.987987416585872,11.89291944910876,0.0,11.837985209456932,12.043077827796978,11.710538793273338,11.810855438908401,11.860713148925486,11.955653412075753,11.953313219579172,216,12.043738116747505,0,540,756,12.032077892096211,11.910370598718645,12.061089985718422,12.061464181279975,6.8679744089702925,756,0,7.448333860897476,1,0,1,0,3,1,12.222336663076506,7,12.038511131398728,1,12.256533232533704,11.765643303311364,8.0,11.818974312364766,3,642,12.068539413468748,12.070483200383846,12.059894850096232,0,35,272,0,0,0,12.022115348666631,12.05859851230732,12.030112254137366,0,2,2006,11.99106086274981,12.11100745037099,11.84939770159144,0,0,0
5,60,12.085885034361516,4.430816798843313,9.565213693968287,12.025522495249092,12.037675191939776,12.163465349551254,12.02269397302858,12.024182958480877,12.178604917308675,12.0205649310742,12.037104209477372,12.04291612709755,12.025895254415694,12.047512415928205,12.182686209840618,8,5,8,8,11.984199753311575,12.019216214618552,12.20587264918594,12.209630627095029,12.163629742442435,350.0,12.311282455535837,12.043077827796978,12.261665131561195,12.179882358539462,12.04261484090755,12.158267145628631,12.301936995160133,655,12.043738116747505,0,490,1145,12.032077892096211,12.20762619892906,12.061089985718422,12.061464181279975,7.0431599159883405,1053,0,7.6953031349635665,1,0,2,1,4,1,12.222336663076506,9,12.038511131398728,1,12.186415513744642,12.16077753342227,8.0,12.172672333572622,3,836,12.068539413468748,12.070483200383846,12.059894850096232,192,84,0,0,0,0,12.022115348666631,12.05859851230732,12.030112254137366,0,12,2008,11.99106086274981,12.005033692506249,12.429216196844383,0,0,0
6,50,12.085885034361516,4.442651256490317,9.55499334068759,12.025522495249092,12.037675191939776,12.163465349551254,12.02269397302858,12.024182958480877,12.00189962660944,12.0205649310742,12.037104209477372,12.04291612709755,12.025895254415694,12.047512415928205,11.813528016838491,5,5,16,14,11.984199753311575,12.019216214618552,12.20587264918594,12.209630627095029,11.89291944910876,0.0,11.837985209456932,12.043077827796978,11.710538793273338,12.179882358539462,12.04261484090755,11.955653412075753,12.301936995160133,732,12.043738116747505,0,64,796,12.032077892096211,12.20762619892906,12.061089985718422,12.061464181279975,6.679599185844383,566,0,7.216709486709457,1,0,1,1,1,1,11.810591800844753,5,12.038511131398728,0,11.808907293600358,12.16077753342227,16.0,11.818974312364766,2,480,12.068539413468748,12.070483200383846,12.059894850096232,40,30,0,320,0,0,12.022115348666631,11.850596405177294,11.866231227825137,700,10,2009,11.99106086274981,12.005033692506249,11.870599909242044,0,0,0
7,20,12.085885034361516,4.31748811353631,9.218705288307811,12.025522495249092,12.037675191939776,11.936093526689717,12.02269397302858,12.024182958480877,12.00189962660944,12.0205649310742,12.037104209477372,12.04291612709755,12.025895254415694,12.047512415928205,11.993682778640787,8,5,3,2,11.984199753311575,12.019216214618552,12.20587264918594,12.209630627095029,12.363024345714125,186.0,12.311282455535837,12.043077827796978,12.261665131561195,12.241978436221487,12.04261484090755,12.158267145628631,12.301936995160133,1369,12.043738116747505,0,317,1686,12.032077892096211,12.20762619892906,12.061089985718422,12.061464181279975,7.434847875211999,0,0,7.434847875211999,1,0,2,0,3,1,12.222336663076506,7,12.038511131398728,1,12.256533232533704,12.16077753342227,3.0,12.172672333572622,2,636,12.068539413468748,12.070483200383846,12.059894850096232,255,57,0,0,0,0,12.022115348666631,12.05859851230732,12.030112254137366,0,8,2007,11.99106086274981,12.005033692506249,12.634603026569334,0,0,0
8,60,12.085885034361516,4.23410650459726,9.247828816387175,12.025522495249092,12.037675191939776,12.163465349551254,12.02269397302858,12.024182958480877,12.027445609949833,12.0205649310742,12.037104209477372,11.90519997738394,12.025895254415694,12.047512415928205,12.182686209840618,7,6,36,36,11.984199753311575,12.019216214618552,11.951898529608227,11.974932626443643,12.363024345714125,240.0,11.837985209456932,12.043077827796978,11.870079702687168,12.179882358539462,12.04261484090755,12.14825026128522,11.953313219579172,859,11.90283941659231,32,216,1107,12.032077892096211,12.20762619892906,12.061089985718422,12.061464181279975,7.009408932708637,983,0,7.644919344958857,1,0,2,1,3,1,11.810591800844753,7,12.038511131398728,2,12.186415513744642,12.16077753342227,36.0,12.172672333572622,2,484,12.068539413468748,12.070483200383846,12.059894850096232,235,204,228,0,0,0,12.022115348666631,12.05859851230732,11.866231227825137,350,11,2009,11.99106086274981,12.005033692506249,12.206072645530174,1,0,0
9,50,11.692892609084135,3.9318256327243257,8.719317375506371,12.025522495249092,12.037675191939776,11.936093526689717,12.02269397302858,12.024182958480877,12.00189962660944,12.0205649310742,12.037104209477372,11.90519997738394,12.025895254415694,12.047512415928205,11.813528016838491,7,5,77,58,11.984199753311575,12.019216214618552,12.013088742728328,11.987987416585872,11.89291944910876,0.0,11.837985209456932,12.043077827796978,11.710538793273338,11.810855438908401,12.04261484090755,11.955653412075753,11.963997506081839,0,12.043738116747505,0,952,952,12.032077892096211,11.910370598718645,12.061089985718422,11.627945220573162,6.92951677076365,752,0,7.480992162869525,0,0,2,0,2,2,11.810591800844753,8,11.827391769174323,2,12.186415513744642,11.765643303311364,77.0,11.818974312364766,2,468,11.632611708470957,12.070483200383846,12.059894850096232,90,0,205,0,0,0,12.022115348666631,12.05859851230732,12.030112254137366,0,4,2008,11.99106086274981,12.11100745037099,11.77452020265869,0,0,0
10,190,12.085885034361516,3.912023005428146,8.911934336161426,12.025522495249092,12.037675191939776,11.936093526689717,12.02269397302858,12.024182958480877,12.027445609949833,12.0205649310742,12.037104209477372,11.90519997738394,11.846378199267683,11.904788200780388,11.904606965587258,5,6,69,58,11.984199753311575,12.019216214618552,11.859767396993869,11.862285886957245,11.89291944910876,0.0,11.837985209456932,12.043077827796978,11.710538793273338,11.810855438908401,12.04261484090755,11.955653412075753,12.301936995160133,851,12.043738116747505,0,140,991,12.032077892096211,12.20762619892906,12.061089985718422,12.061464181279975,6.981934677156389,0,0,6.981934677156389,1,0,1,0,2,2,11.810591800844753,5,12.038511131398728,2,12.186415513744642,12.16077753342227,69.0,12.172672333572622,1,205,11.632611708470957,12.070483200383846,12.059894850096232,0,4,0,0,0,0,12.022115348666631,12.05859851230732,12.030112254137366,0,1,2008,11.99106086274981,12.005033692506249,11.678439903447801,0,0,0
